24-03-26T190502, 086, VerHora
24-03-26T190507, 086, Caminhar
24-03-26T192314, 088, VerHora
24-03-26T192601, 088, VerHora
24-03-26T193601, 088, VerHora
24-03-26T193634, 088, VerHora
24-03-26T200031, 089, VerHora
24-03-26T203603, 089, VerHora
24-03-26T205501, 088, VerHora
24-03-26T211615, 088, VerHora
24-03-27T061319, 080, VerHora
24-03-27T062825, 100, VerHora
24-03-29T104729, 100, VerHora
24-03-30T102111, 010, VerHora
24-03-30T105216, 010, VerHora
24-03-30T111830, 099, VerHora
24-03-30T193159, 100, VerHora
24-03-31T090328, 099, VerHora
24-03-31T110307, 099, VerHora
24-03-31T110725, 099, VerHora
24-04-06T114520, 080, VerHora
24-04-06T114604, 086, VerHora
24-04-06T160908, 094, VerHora
