"1597620286674","2020/08/16 20:24:46 BRT","transpo: ônibus/metrô/carro"
"1597620287160","2020/08/16 20:24:47 BRT","transpo: ônibus/metrô/carro"
"1597620327233","2020/08/16 20:25:27 BRT","mensagem de trabalho"
"1597620327772","2020/08/16 20:25:27 BRT","mensagem de trabalho"
"1597620363489","2020/08/16 20:26:03 BRT","cozinhar/cuidar da casa"
"1597620363890","2020/08/16 20:26:03 BRT","cozinhar/cuidar da casa"
"1597620376684","2020/08/16 20:26:16 BRT","[200]"
"1597620377054","2020/08/16 20:26:17 BRT","[200]"
"1597620389000","2020/08/16 20:26:29 BRT","organizar informação em arquivos"
"1597620389489","2020/08/16 20:26:29 BRT","organizar informação em arquivos"
"1597620401091","2020/08/16 20:26:41 BRT","caminhada (para algum lugar)"
"1597620401572","2020/08/16 20:26:41 BRT","caminhada (para algum lugar)"
"1597620419125","2020/08/16 20:26:59 BRT","pausa: relaxamento/refeição"
"1597620419665","2020/08/16 20:26:59 BRT","pausa: relaxamento/refeição"
"1597620437019","2020/08/16 20:27:17 BRT","mensagem de trabalho"
"1597620437457","2020/08/16 20:27:17 BRT","mensagem de trabalho"
"1597620455056","2020/08/16 20:27:35 BRT","mensagem de trabalho"
"1597620455543","2020/08/16 20:27:35 BRT","mensagem de trabalho"
"1597620479186","2020/08/16 20:27:59 BRT","esperar/informar-se"
"1597620479626","2020/08/16 20:27:59 BRT","esperar/informar-se"
"1597620489230","2020/08/16 20:28:09 BRT","caminhada (para algum lugar)"
"1597620489717","2020/08/16 20:28:09 BRT","caminhada (para algum lugar)"
"1597620502391","2020/08/16 20:28:22 BRT","[200]"
"1597620502880","2020/08/16 20:28:22 BRT","[200]"
"1597620517686","2020/08/16 20:28:37 BRT","organizar informação em arquivos"
"1597620518187","2020/08/16 20:28:38 BRT","organizar informação em arquivos"
"1597620528278","2020/08/16 20:28:48 BRT","caminhada (para algum lugar)"
"1597620528767","2020/08/16 20:28:48 BRT","caminhada (para algum lugar)"
"1597620538514","2020/08/16 20:28:58 BRT","transpo: ônibus/metrô/carro"
"1597620539052","2020/08/16 20:28:59 BRT","transpo: ônibus/metrô/carro"
"1597620550069","2020/08/16 20:29:10 BRT","caminhada (para algum lugar)"
"1597620550605","2020/08/16 20:29:10 BRT","caminhada (para algum lugar)"
"1597620565327","2020/08/16 20:29:25 BRT","mensagem particular"
"1597620565815","2020/08/16 20:29:25 BRT","mensagem particular"
"1597620577125","2020/08/16 20:29:37 BRT","caminhada (para algum lugar)"
"1597620577661","2020/08/16 20:29:37 BRT","caminhada (para algum lugar)"
"1597620596286","2020/08/16 20:29:56 BRT","esperar/informar-se"
"1597620596772","2020/08/16 20:29:56 BRT","esperar/informar-se"
"1597620607788","2020/08/16 20:30:07 BRT","transpo: ônibus/metrô/carro"
"1597620608276","2020/08/16 20:30:08 BRT","transpo: ônibus/metrô/carro"
"1597620646379","2020/08/16 20:30:46 BRT","[200]"
"1597620646786","2020/08/16 20:30:46 BRT","[200]"
"1597620673748","2020/08/16 20:31:13 BRT","atendimento/reunião/aula"
"1597620674282","2020/08/16 20:31:14 BRT","atendimento/reunião/aula"
"1597620735561","2020/08/16 20:32:15 BRT","[200]"
"1597620735999","2020/08/16 20:32:15 BRT","[200]"
"1597620745166","2020/08/16 20:32:25 BRT","caminhada (para algum lugar)"
"1597620745653","2020/08/16 20:32:25 BRT","caminhada (para algum lugar)"
"1597620754233","2020/08/16 20:32:34 BRT","atendimento/reunião/aula"
"1597620754720","2020/08/16 20:32:34 BRT","atendimento/reunião/aula"
"1597620764811","2020/08/16 20:32:44 BRT","pausa: relaxamento/refeição"
"1597620765299","2020/08/16 20:32:45 BRT","pausa: relaxamento/refeição"
"1597620774656","2020/08/16 20:32:54 BRT","pausa: relaxamento/refeição"
"1597620775196","2020/08/16 20:32:55 BRT","pausa: relaxamento/refeição"
"1597620791917","2020/08/16 20:33:11 BRT","caminhada (para algum lugar)"
"1597620792403","2020/08/16 20:33:12 BRT","caminhada (para algum lugar)"
"1597620806151","2020/08/16 20:33:26 BRT","caminhada (para algum lugar)"
"1597620806639","2020/08/16 20:33:26 BRT","caminhada (para algum lugar)"
"1597620864888","2020/08/16 20:34:24 BRT","mensagem de trabalho"
"1597620865375","2020/08/16 20:34:25 BRT","mensagem de trabalho"
"1597622344070","2020/08/16 20:59:04 BRT","[200]"
"1597622344548","2020/08/16 20:59:04 BRT","[200]"
"1597622509226","2020/08/16 21:01:49 BRT","pausa: relaxamento/refeição"
"1597622509717","2020/08/16 21:01:49 BRT","pausa: relaxamento/refeição"
"1597622525115","2020/08/16 21:02:05 BRT","mensagem de trabalho"
"1597622525607","2020/08/16 21:02:05 BRT","mensagem de trabalho"
"1597622537987","2020/08/16 21:02:17 BRT","esperar/informar-se"
"1597622538475","2020/08/16 21:02:18 BRT","esperar/informar-se"
"1597622555200","2020/08/16 21:02:35 BRT","estudo/elaboração/planejamento"
"1597622555733","2020/08/16 21:02:35 BRT","estudo/elaboração/planejamento"
"1597622616976","2020/08/16 21:03:36 BRT","esperar/informar-se"
"1597622617499","2020/08/16 21:03:37 BRT","esperar/informar-se"
"1597622635143","2020/08/16 21:03:55 BRT","pausa: relaxamento/refeição"
"1597622635680","2020/08/16 21:03:55 BRT","pausa: relaxamento/refeição"
"1597622650795","2020/08/16 21:04:10 BRT","atendimento/reunião/aula"
"1597622651282","2020/08/16 21:04:11 BRT","atendimento/reunião/aula"
"1597622662642","2020/08/16 21:04:22 BRT","mensagem de trabalho"
"1597622663127","2020/08/16 21:04:23 BRT","mensagem de trabalho"
"1597622676517","2020/08/16 21:04:36 BRT","[200]"
"1597622676970","2020/08/16 21:04:36 BRT","[200]"
"1597622708864","2020/08/16 21:05:08 BRT","bem estar/passeio"
"1597622709291","2020/08/16 21:05:09 BRT","bem estar/passeio"
"1597622735079","2020/08/16 21:05:35 BRT","[200]"
"1597622735615","2020/08/16 21:05:35 BRT","[200]"
"1597623139120","2020/08/16 21:12:19 BRT","[200]"
"1597623139657","2020/08/16 21:12:19 BRT","[200]"
"1597664940806","2020/08/17 08:49:00 BRT","[200]"
"1597664941334","2020/08/17 08:49:01 BRT","[200]"
"1597668577159","2020/08/17 09:49:37 BRT","cozinhar/cuidar da casa"
"1597668577626","2020/08/17 09:49:37 BRT","cozinhar/cuidar da casa"
"1597670747773","2020/08/17 10:25:47 BRT","estudo/elaboração/planejamento"
"1597670748309","2020/08/17 10:25:48 BRT","estudo/elaboração/planejamento"
"1597671099847","2020/08/17 10:31:39 BRT","transpo: ônibus/metrô/carro"
"1597671100333","2020/08/17 10:31:40 BRT","transpo: ônibus/metrô/carro"
"1597671110327","2020/08/17 10:31:50 BRT","pausa: relaxamento/refeição"
"1597671110815","2020/08/17 10:31:50 BRT","pausa: relaxamento/refeição"
"1597671122903","2020/08/17 10:32:02 BRT","caminhada (para algum lugar)"
"1597671123433","2020/08/17 10:32:03 BRT","caminhada (para algum lugar)"
"1597671148013","2020/08/17 10:32:28 BRT","caminhada (para algum lugar)"
"1597671148498","2020/08/17 10:32:28 BRT","caminhada (para algum lugar)"
"1597671161807","2020/08/17 10:32:41 BRT","transpo: ônibus/metrô/carro"
"1597671162294","2020/08/17 10:32:42 BRT","transpo: ônibus/metrô/carro"
